symbol,strategy,profit,return_pct,drawdown,trades,sharpe_ratio,sortino_ratio,win_rate,profit_factor,final_capital
ETHUSDT,MACD,1242.46,12.42,7.19,496,0.526,0.513,32.46,1.143,11242.46
ETHUSDT,Volume Spike,1107.4,11.07,4.05,302,0.56,0.425,36.75,1.204,11107.4
BTCUSDT,Breakout,760.9,7.61,6.96,210,0.436,0.378,37.62,1.189,10760.9
BTCUSDT,Swing Trading,529.61,5.3,10.14,322,0.256,0.24,36.02,1.086,10529.61
ETHUSDT,Breakout,237.85,2.38,6.58,278,0.132,0.11,33.09,1.041,10237.85
BTCUSDT,Volume Spike,184.47,1.84,6.46,290,0.121,0.096,38.28,1.039,10184.47
ETHUSDT,EMA Cross,64.47,0.64,10.74,240,0.052,0.04,30.83,1.014,10064.47
ETHUSDT,Trend Following,64.47,0.64,10.74,240,0.052,0.04,30.83,1.014,10064.47
BTCUSDT,EMA Cross,-408.82,-4.09,8.69,228,-0.264,-0.206,30.7,0.891,9591.18
BTCUSDT,Trend Following,-408.82,-4.09,8.69,228,-0.264,-0.206,30.7,0.891,9591.18
ETHUSDT,ATR,-422.37,-4.22,15.35,1020,-0.121,-0.134,24.9,0.969,9577.63
BTCUSDT,MACD,-425.54,-4.26,12.14,503,-0.2,-0.194,30.82,0.94,9574.46
ETHUSDT,Swing Trading,-1245.46,-12.45,15.95,466,-0.489,-0.439,31.12,0.87,8754.54
BTCUSDT,ATR,-1260.66,-12.61,19.56,914,-0.544,-0.587,23.09,0.874,8739.34
ETHUSDT,VWAP,-1292.09,-12.92,22.84,849,-0.355,-0.433,33.22,0.924,8707.91
ETHUSDT,Scalping,-1310.29,-13.1,18.44,649,-0.417,-0.454,34.05,0.897,8689.71
BTCUSDT,Scalping,-1359.84,-13.6,20.25,510,-0.509,-0.577,34.12,0.863,8640.16
BTCUSDT,Bollinger Bands,-1365.16,-13.65,14.94,281,-0.823,-0.577,40.21,0.752,8634.84
BTCUSDT,Mean Reversion,-1365.16,-13.65,14.94,281,-0.823,-0.577,40.21,0.752,8634.84
BTCUSDT,VWAP,-1705.03,-17.05,23.81,608,-0.607,-0.729,32.4,0.85,8294.97
BTCUSDT,RSI,-1750.19,-17.5,19.41,338,-0.994,-0.76,41.42,0.717,8249.81
ETHUSDT,Bollinger Bands,-1861.46,-18.61,21.41,311,-1.004,-0.671,34.41,0.715,8138.54
ETHUSDT,Mean Reversion,-1861.46,-18.61,21.41,311,-1.004,-0.671,34.41,0.715,8138.54
ETHUSDT,RSI,-1881.91,-18.82,22.47,387,-0.937,-0.699,35.4,0.754,8118.09
